s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.2560683E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2560683E-003, 0.0000000E+000, 0.0000000E+000
 1.8257418E-001, 3.3173670E+000,-4.7981873E-005, 5.6121915E-002, 6.3530451E-009, 1.2652924E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1497219E-003, 3.3747062E+000, 6.0214177E-004, 6.0214177E-004
 3.6514837E-001, 1.0896734E+001,-8.7059316E-002, 1.8496177E-001,-5.1624412E-003, 1.9408506E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3717259E+000, 1.0991415E+001, 1.1662562E-003, 1.1662562E-003
 5.4772258E-001, 1.9563966E+001,-2.9768980E-001, 3.2978269E-001,-3.6310279E-002, 2.7431762E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0974482E+001, 1.9562492E+001, 1.6633515E-003, 1.6633515E-003
 7.3029673E-001, 2.7897172E+001,-5.8683870E-001, 4.6596178E-001,-1.1845721E-001, 3.7876492E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9518459E+001, 2.7661626E+001, 2.0782979E-003, 2.0782979E-003
 9.1287094E-001, 3.5279173E+001,-1.2756950E+000, 5.7738769E-001,-2.7276738E-001, 4.2952905E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7578066E+001, 3.4312394E+001, 2.4092949E-003, 2.4092949E-003
 1.0954452E+000, 4.1499532E+001,-2.6218748E+000, 6.5333155E-001,-5.0263642E-001, 6.8603851E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4168050E+001, 3.9035213E+001, 2.6638925E-003, 2.6638925E-003
 1.2780193E+000, 4.6301617E+001,-4.6072553E+000, 6.9386064E-001,-7.5850734E-001, 9.3100231E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8830768E+001, 4.1639025E+001, 2.8542978E-003, 2.8542978E-003
 1.4605935E+000, 5.0031768E+001,-7.6916711E+000, 7.0023037E-001,-9.4955111E-001, 1.0772296E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1419056E+001, 4.2101549E+001, 2.9937237E-003, 2.9937237E-003
 1.6431676E+000, 5.2847493E+001,-1.1802307E+001, 6.7593052E-001,-1.0367270E+000, 1.1645761E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1929356E+001, 4.0696035E+001, 3.0942505E-003, 3.0942505E-003
 1.8257419E+000, 5.4912182E+001,-1.4791508E+001, 6.6161428E-001,-9.5507203E-001, 1.2140585E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0570013E+001, 3.9839357E+001, 3.1659241E-003, 3.1659241E-003
 1.9798410E+000, 6.1578521E+001,-1.6648485E+001, 7.4684364E-001,-7.7923687E-001, 1.2394386E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9765671E+001, 4.4910037E+001, 3.2098328E-003, 3.2098328E-003
 2.1000550E+000, 7.0402743E+001,-1.8113854E+001, 8.7545072E-001,-6.2991013E-001, 1.2514674E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4822234E+001, 5.2546945E+001, 3.2361091E-003, 3.2361091E-003
 2.1820111E+000, 7.6433941E+001,-1.8636511E+001, 9.7115880E-001,-5.7285293E-001, 1.2606377E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2446070E+001, 5.8208342E+001, 3.2508167E-003, 3.2508167E-003
 2.2533338E+000, 7.2152463E+001,-2.0442748E+001, 8.7197057E-001,-5.2531027E-001, 1.2679133E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8118295E+001, 5.2069055E+001, 3.2618372E-003, 3.2618372E-003
 2.3246565E+000, 6.6566672E+001,-1.9347317E+001, 7.9816564E-001,-4.4404462E-001, 1.2734025E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2014013E+001, 4.7586210E+001, 3.2714224E-003, 3.2714224E-003
 2.3804088E+000, 6.6985950E+001,-1.7010110E+001, 8.4688592E-001,-3.7609949E-001, 1.2763391E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7546916E+001, 5.0459390E+001, 3.2780351E-003, 3.2780351E-003
 2.4361610E+000, 6.4068716E+001,-1.7782276E+001, 7.8832860E-001,-3.2837447E-001, 1.2785367E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0423983E+001, 4.6759179E+001, 3.2839612E-003, 3.2839612E-003
 2.4862342E+000, 6.2657098E+001,-1.6855132E+001, 7.8268181E-001,-3.0111367E-001, 1.2792284E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6731784E+001, 4.6296327E+001, 3.2887565E-003, 3.2887565E-003
 2.5363073E+000, 6.0098769E+001,-1.5173737E+001, 7.6650558E-001,-2.9430775E-001, 1.2789925E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6274507E+001, 4.5410019E+001, 3.2931008E-003, 3.2931008E-003
 2.5863802E+000, 5.7896394E+001,-1.4326083E+001, 7.4347629E-001,-3.0334044E-001, 1.2817931E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5418265E+001, 4.4023265E+001, 3.2970361E-003, 3.2970361E-003
 2.6308036E+000, 5.7431312E+001,-1.3719159E+001, 7.4591599E-001,-3.1880273E-001, 1.2824579E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4014492E+001, 4.4152092E+001, 3.3002156E-003, 3.3002156E-003
 2.6752269E+000, 5.6700944E+001,-1.2334247E+001, 7.5548739E-001,-3.3851874E-001, 1.2825505E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4126444E+001, 4.4796491E+001, 3.3031275E-003, 3.3031275E-003
 2.7640736E+000, 5.6604652E+001,-1.1648151E+001, 7.6386962E-001,-3.7346358E-001, 1.2812111E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4940908E+001, 4.5359719E+001, 3.3070150E-003, 3.3070150E-003
 2.8973436E+000, 5.7615512E+001,-1.1322660E+001, 7.8315452E-001,-4.4673845E-001, 1.2765521E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6167607E+001, 4.6642034E+001, 3.3124611E-003, 3.3124611E-003
 3.0172651E+000, 5.8961182E+001,-1.1988191E+001, 7.9131979E-001,-5.3928975E-001, 1.2709530E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7192999E+001, 4.7237730E+001, 3.3173390E-003, 3.3173390E-003
 3.1371863E+000, 5.9220763E+001,-1.2949845E+001, 7.7687115E-001,-6.2023788E-001, 1.2725818E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6650801E+001, 4.6440278E+001, 3.3210188E-003, 3.3210188E-003
 3.2571077E+000, 5.9426273E+001,-1.3649584E+001, 7.6713094E-001,-6.8005523E-001, 1.2741404E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6077668E+001, 4.5876506E+001, 3.3239167E-003, 3.3239167E-003
 3.3770292E+000, 5.9598073E+001,-1.2690760E+001, 7.8592877E-001,-7.1877200E-001, 1.2761571E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6378596E+001, 4.6987231E+001, 3.3261985E-003, 3.3261985E-003
 3.4969504E+000, 5.9728001E+001,-1.2162993E+001, 7.9686461E-001,-7.6381317E-001, 1.2786158E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7626003E+001, 4.7610846E+001, 3.3279948E-003, 3.3279948E-003
 3.6168718E+000, 6.0266064E+001,-1.2785293E+001, 7.9434588E-001,-8.6031794E-001, 1.2809599E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7415320E+001, 4.7427608E+001, 3.3294087E-003, 3.3294087E-003
 3.7367933E+000, 6.0668773E+001,-1.3253032E+001, 7.9103585E-001,-1.0319451E+000, 1.2828965E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7272049E+001, 4.7187662E+001, 3.3305215E-003, 3.3305215E-003
 3.8567145E+000, 6.0501466E+001,-1.3390399E+001, 7.8294797E-001,-1.2488205E+000, 1.2844933E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6828290E+001, 4.6658040E+001, 3.3313973E-003, 3.3313973E-003
 3.9766359E+000, 6.0149454E+001,-1.3311236E+001, 7.7501385E-001,-1.4794835E+000, 1.2857143E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6211652E+001, 4.6146606E+001, 3.3320864E-003, 3.3320864E-003
